yr,school_name,conf_abbr,wins,losses,ties,win_loss_pct,wins_conf,losses_conf,ties_conf,win_loss_pct_conf,points_per_g,opp_points_per_g,confname
1892,Lehigh,Ind,3,6,0,0.333,0,0,0,0,10.1,18.2,Ind
1892,Rutgers,Ind,3,5,1,0.389,0,0,0,0,12,17.8,Ind
1892,Trinity (CT),Ind,2,4,1,0.357,0,0,0,0,4.3,11.9,Ind
1892,Williams,Ind,4,7,0,0.364,0,0,0,0,9.3,23.7,Ind
1892,Wesleyan (CT),Ind,1,8,1,0.15,0,0,0,0,3.4,23,Ind
1893,Minnesota,Ind,6,0,0,1,0,0,0,0,24.7,6.3,Ind
1893,Princeton,Ind,11,0,0,1,0,0,0,0,24.5,1.3,Ind
1893,Harvard,Ind,12,1,0,0.923,0,0,0,0,32.2,1.2,Ind
1893,Yale,Ind,10,1,0,0.909,0,0,0,0,30,1.1,Ind
1893,Pennsylvania,Ind,12,3,0,0.8,0,0,0,0,32.3,4.1,Ind
1893,Wesleyan (CT),Ind,4,1,0,0.8,0,0,0,0,13.2,21.6,Ind
1893,Lehigh,Ind,7,3,0,0.7,0,0,0,0,17.4,8.4,Ind
1893,Michigan,Ind,7,3,0,0.7,0,0,0,0,27.8,10.2,Ind
1893,Brown,Ind,6,3,0,0.667,0,0,0,0,18.7,10.4,Ind
1893,Purdue,Ind,5,2,1,0.688,0,0,0,0,41.8,18,Ind
1893,Williams,Ind,7,3,2,0.667,0,0,0,0,16.8,16.5,Ind
1893,Wisconsin,Ind,4,2,0,0.667,0,0,0,0,18.7,18.3,Ind
1893,Amherst,Ind,7,6,1,0.536,0,0,0,0,11.6,15.7,Ind
1893,Chicago,Ind,6,4,2,0.583,0,0,0,0,12.3,11.9,Ind
1893,Dartmouth,Ind,4,3,0,0.571,0,0,0,0,12,12.9,Ind
1893,Illinois,Ind,3,2,3,0.563,0,0,0,0,19.5,13.3,Ind
1893,Lake Forest,Ind,3,2,3,0.563,0,0,0,0,14.3,14.3,Ind
1893,Army,Ind,4,5,0,0.444,0,0,0,0,9.3,12.1,Ind
1893,WPI,Ind,2,3,1,0.417,0,0,0,0,7.7,24.3,Ind
1893,Cornell,Ind,3,6,1,0.35,0,0,0,0,9.4,17.2,Ind
1893,MIT,Ind,3,5,0,0.375,0,0,0,0,7.3,18.5,Ind
1893,Northwestern,Ind,2,5,3,0.35,0,0,0,0,9.2,17.6,Ind
1893,Tufts,Ind,4,7,0,0.364,0,0,0,0,11.8,13.1,Ind
